11486001|25994|2007-02-23||2007-02-23 13:57:22|ANONGPOP|2007-02-23 13:57:22|ANONGPOP|
11486001|25995|2007-02-23||2007-02-23 13:57:35|ANONGPOP|2007-02-23 13:57:35|ANONGPOP|
11486001|25996|2007-02-23||2007-02-23 13:57:50|ANONGPOP|2007-02-23 13:57:50|ANONGPOP|
11486001|25997|2007-02-23||2007-02-23 13:58:04|ANONGPOP|2007-02-23 13:58:04|ANONGPOP|
11486001|25998|2007-02-23||2007-02-23 13:58:19|ANONGPOP|2007-02-23 13:58:19|ANONGPOP|
10201002|25999|2007-02-26||2007-02-26 10:37:54|ANONGPOP|2007-02-26 10:37:54|ANONGPOP|
10201002|26000|2007-02-26||2007-02-26 10:38:17|ANONGPOP|2007-02-26 10:38:17|ANONGPOP|
10201002|26001|2007-02-26||2007-02-26 10:38:39|ANONGPOP|2007-02-26 10:38:39|ANONGPOP|
10201002|26002|2007-02-26||2007-02-26 10:39:00|ANONGPOP|2007-02-26 10:39:00|ANONGPOP|
10201002|26003|2007-02-26||2007-02-26 10:39:20|ANONGPOP|2007-02-26 10:39:20|ANONGPOP|
10201002|26004|2007-02-26||2007-02-26 10:39:40|ANONGPOP|2007-02-26 10:39:40|ANONGPOP|
15017002|25894|2007-02-26||2007-02-26 13:01:53|ANONGPOP|2007-02-26 13:01:53|ANONGPOP|
15017002|26005|2007-02-26||2007-02-26 13:03:41|ANONGPOP|2007-02-26 13:03:41|ANONGPOP|
15017002|26006|2007-02-26||2007-02-26 13:03:59|ANONGPOP|2007-02-26 13:03:59|ANONGPOP|
12539002|26007|2007-02-27||2007-02-27 10:53:55|ANONGPOP|2007-02-27 10:53:55|ANONGPOP|
12539002|26008|2007-02-27||2007-02-27 10:54:20|ANONGPOP|2007-02-27 10:54:20|ANONGPOP|
12539002|26009|2007-02-27||2007-02-27 10:54:42|ANONGPOP|2007-02-27 10:54:42|ANONGPOP|
12539002|26010|2007-02-27||2007-02-27 10:55:01|ANONGPOP|2007-02-27 10:55:01|ANONGPOP|
12539002|26011|2007-02-27||2007-02-27 10:55:23|ANONGPOP|2007-02-27 10:55:23|ANONGPOP|
12539002|26012|2007-02-27||2007-02-27 10:55:40|ANONGPOP|2007-02-27 10:55:40|ANONGPOP|
12539002|26013|2007-02-27||2007-02-27 10:55:58|ANONGPOP|2007-02-27 10:55:58|ANONGPOP|
12539002|26014|2007-02-27||2007-02-27 10:56:17|ANONGPOP|2007-02-27 10:56:17|ANONGPOP|
14939002|26015|2007-02-28||2007-02-28 17:14:19|NARUMOLS|2007-02-28 17:14:19|NARUMOLS|
14939002|26016|2007-02-28||2007-02-28 17:15:28|NARUMOLS|2007-02-28 17:15:28|NARUMOLS|
14888002|26017|2007-03-01||2007-03-01 10:07:12|NARUMOLS|2007-03-01 10:07:12|NARUMOLS|
13213002|26018|2007-03-01||2007-03-01 14:12:24|ANONGPOP|2007-03-01 14:12:24|ANONGPOP|
13213002|26019|2007-03-01||2007-03-01 14:12:51|ANONGPOP|2007-03-01 14:12:51|ANONGPOP|
